2020-02-23,确有此事,normal,中国科学院生物学博士,,中科院研究人员通过对93个新冠病毒的全基因组数据进行分析...,研究发现新冠病毒的源头不是华南海鲜市场,1,https://p.qpic.cn/jiaozhen/0/9a3ffe42bd1f55c6197b4a26e04fae3a/0?imageView2/2/w/300/h/300,真,https://p.qpic.cn/jiaozhen/0/9a3ffe42bd1f55c6197b4a26e04fae3a/0?imageView2/2/w/150/h/90,False,,中国科学院生物学博士,https://p.qpic.cn/jiaozhen/0/9a3ffe42bd1f55c6197b4a26e04fae3a/0,true,21195d878417117c5ff9be5d7cb064ee,新型冠状病毒|华南海鲜市场|
2020-02-23,谣言,normal,上海报业集团旗下新媒体平台,,针对湖北武汉市中心医院急诊科主任艾芬感染新冠肺炎遭遇不幸一事...,武汉中心医院急诊科主任艾芬感染新冠肺炎去世,1,https://p.qpic.cn/jiaozhen/0/5a4cbdf436afd5126174674ecb71de4a/0?imageView2/2/w/300/h/300,假,https://p.qpic.cn/jiaozhen/0/5a4cbdf436afd5126174674ecb71de4a/0?imageView2/2/w/150/h/90,False,,上海报业集团旗下新媒体平台,https://p.qpic.cn/jiaozhen/0/5a4cbdf436afd5126174674ecb71de4a/0,fake,1ba655d12835bdd17ccc86df1517f0d7,武汉中心医院|新型冠状病毒肺炎|
2020-02-23,分情况,normal,东华大学产业用纺织品教育部工程中心副教授,,从理论上说，有作用，可在一定程度上增加口罩的使用时间...,一次性口罩垫片可以起到防护作用,1,//jiaozhen-70111.picnjc.qpic.cn/dkdaY2k3VV49A5HJSGoyWd?imageView2/2/w/300/h/300,疑,//jiaozhen-70111.picnjc.qpic.cn/dkdaY2k3VV49A5HJSGoyWd?imageView2/2/w/150/h/90,False,,东华大学产业用纺织品教育部工程中心副教授,//jiaozhen-70111.picnjc.qpic.cn/dkdaY2k3VV49A5HJSGoyWd,doubt,f5fef32dc02d369c067580cbeff76c9c,口罩|口罩垫片|
2020-02-23,谣言,normal,美国普渡大学农业与生物系食品工程专业博士,,钟南山是否说过“确诊病例中无素食者”存疑。即便说过...,钟南山：至今确诊一万多例，无一素食者感染新冠病毒,1,https://p.qpic.cn/jiaozhen/0/076a0ee02cbf98420915490ea4d038d2/0?imageView2/2/w/300/h/300,假,https://p.qpic.cn/jiaozhen/0/076a0ee02cbf98420915490ea4d038d2/0?imageView2/2/w/150/h/90,False,,美国普渡大学农业与生物系食品工程专业博士,https://p.qpic.cn/jiaozhen/0/076a0ee02cbf98420915490ea4d038d2/0,fake,a47e5477896d4a8284123f5c7e988840,素食者|新型冠状病毒|
2020-02-22,有失实,normal,较真查证员,,部分省、自治区、直辖市根据当地具体情况出台了相应“减租”政策...,国家要求全部房东的出租行为，全部减免租金,1,https://p.qpic.cn/jiaozhen/0/f22b054c62fd061d14200ba61d49662c/0?imageView2/2/w/300/h/300,疑,https://p.qpic.cn/jiaozhen/0/f22b054c62fd061d14200ba61d49662c/0?imageView2/2/w/150/h/90,False,,较真查证员,https://p.qpic.cn/jiaozhen/0/f22b054c62fd061d14200ba61d49662c/0,doubt,d392272c920d69d5585ba86ed31c711b,肺炎疫情|国家一级响应|
2020-02-22,谣言,normal,较真国际查证员 圣彼得堡大学硕士,,俄卫生部官方答复“俄罗斯联邦卫生部《新型冠状病毒感染预防、诊断和治...,俄罗斯科学家验证新冠病毒为人工合成病毒,1,https://p.qpic.cn/jiaozhen/0/a118e874124517dc9cec973199200b19/0?imageView2/2/w/300/h/300,假,https://p.qpic.cn/jiaozhen/0/a118e874124517dc9cec973199200b19/0?imageView2/2/w/150/h/90,False,,较真国际查证员 圣彼得堡大学硕士,https://p.qpic.cn/jiaozhen/0/a118e874124517dc9cec973199200b19/0,fake,118a903dfb295d525119c54a5101dad8,新型冠状病毒|俄罗斯|
2020-02-22,谣言,normal,解放日报•上观新闻运营的辟谣新闻和辟谣服务网络平台,,根据读者提供的照片，在上海图书馆的馆藏信息中...,10年前陈国生就预测预言了新冠肺炎的爆发,1,//jiaozhen-70111.picnjc.qpic.cn/vpq11SoYhyed8ZAhU7qQJt?imageView2/2/w/300/h/300,假,//jiaozhen-70111.picnjc.qpic.cn/vpq11SoYhyed8ZAhU7qQJt?imageView2/2/w/150/h/90,False,,解放日报•上观新闻运营的辟谣新闻和辟谣服务网络平台,//jiaozhen-70111.picnjc.qpic.cn/vpq11SoYhyed8ZAhU7qQJt,fake,2460154736b9035b26744e43b1612905,陈国生|神预言|
2020-02-22,有失实,normal,腾讯新闻旗下专业事实查证平台,,2月18日晚，健康时报记者采访了火神山医院的承建方中建三局...,建设火神山医院的工人要结算工资了，许多人坚决不要,1,https://p.qpic.cn/jiaozhen/0/8a44c177b3a2531ee9ba52ee44851e07/0?imageView2/2/w/300/h/300,疑,https://p.qpic.cn/jiaozhen/0/8a44c177b3a2531ee9ba52ee44851e07/0?imageView2/2/w/150/h/90,False,,腾讯新闻旗下专业事实查证平台,https://p.qpic.cn/jiaozhen/0/8a44c177b3a2531ee9ba52ee44851e07/0,doubt,4cd976c053cc7bebab1823874bc33b93,火神山医院|工资|
2020-02-22,确实如此,normal,国家卫健委,,根据国家卫健委解读《新型冠状病毒肺炎防控方案（第五版）》内容...,核酸检测结果阴性不能排除新型冠状病毒感染,1,https://p.qpic.cn/jiaozhen/0/9e1a667cb5da3e612db40f0426122128/0?imageView2/2/w/300/h/300,真,https://p.qpic.cn/jiaozhen/0/9e1a667cb5da3e612db40f0426122128/0?imageView2/2/w/150/h/90,False,,国务院组成部门,https://p.qpic.cn/jiaozhen/0/9e1a667cb5da3e612db40f0426122128/0,true,223b333fc944b354521730b66a828d14,新型冠状病毒|核酸检测|
2020-02-22,谣言,normal,今日话题栏目主编,,2月21日晚间...,美国14000多流感死亡者部分死于新冠肺炎,1,https://p.qpic.cn/jiaozhen/0/c74f5275480fff09d792035e9b0ca519/0?imageView2/2/w/300/h/300,假,https://p.qpic.cn/jiaozhen/0/c74f5275480fff09d792035e9b0ca519/0?imageView2/2/w/150/h/90,False,,今日话题栏目主编,https://p.qpic.cn/jiaozhen/0/c74f5275480fff09d792035e9b0ca519/0,fake,a39855f7c1b1e65b052ebc849d13779d,新冠肺炎|美国流感|
